JD,Date_UT,Body,Sign,Deg,Lon,Notes,Source
2433282.168078704,1950-01-01 00:00:00,Moon,Gemini,59355620915692.05,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433284.44488426,1950-01-03 00:00:00,Moon,Cancer,17756833888.9,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433286.7216782407,1950-01-06 00:00:00,Moon,Leo,116948632678641.9,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433288.998483796,1950-01-08 00:00:00,Moon,Virgo,23332764006.516666,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433291.2752777776,1950-01-10 00:00:00,Moon,Libra,787449271115.7167,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433293.5520717595,1950-01-13 00:00:00,Moon,Scorpio,15908751636745.55,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433295.828877315,1950-01-15 00:00:00,Moon,Sagittarius,18989031862.766666,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433298.1056712964,1950-01-17 00:00:00,Moon,Capricorn,7350127833589.95,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433300.382476852,1950-01-19 00:00:00,Moon,Aquarius,24564957129.766666,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433302.659270833,1950-01-22 00:00:00,Moon,Pisces,13109429009887.633,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
