JD,Date_UT,Body,Sign,Deg,Lon,Notes,Source
2435762.71667,1956-10-20 05:12:00,Pluto,Virgo,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Pluto.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2435762.933336667,1956-10-20 00:00:00,Pluto,Virgo,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2435849.61458,1957-01-15 02:45:00,Pluto,Leo,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Pluto.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2435849.7291633333,1957-01-15 00:00:00,Pluto,Leo,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436065.68264,1957-08-19 04:23:00,Pluto,Virgo,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Pluto.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436065.8652788885,1957-08-19 00:00:00,Pluto,Virgo,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436301.08194,1958-04-11 13:58:00,Pluto,Leo,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Pluto.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436301.663884444,1958-04-11 00:00:00,Pluto,Leo,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436361.28472,1958-06-10 18:50:00,Pluto,Virgo,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Pluto.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436362.069442222,1958-06-10 00:00:00,Pluto,Virgo,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2441225.75972,1971-10-05 06:14:00,Pluto,Libra,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Pluto.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2441226.019442222,1971-10-05 00:00:00,Pluto,Libra,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2441420.78403,1972-04-17 06:49:00,Pluto,Virgo,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Pluto.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2441421.068057778,1972-04-17 00:00:00,Pluto,Virgo,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2441524.98542,1972-07-30 11:39:00,Pluto,Libra,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Pluto.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2441525.4708366664,1972-07-30 00:00:00,Pluto,Libra,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2445640.37986,1983-11-05 21:07:00,Pluto,Scorpio,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Pluto.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2445641.2597211115,1983-11-05 00:00:00,Pluto,Scorpio,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2445835.10764,1984-05-18 14:35:00,Pluto,Libra,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Pluto.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2445835.715278889,1984-05-18 00:00:00,Pluto,Libra,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2445936.69722,1984-08-28 04:44:00,Pluto,Scorpio,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Pluto.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
