JD,Date_UT,Body,Sign,Deg,Lon,Notes,Source
2433602.15972,1950-11-20 15:50:00,Saturn,Libra,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Saturn.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433602.819442222,1950-11-20 00:00:00,Saturn,Libra,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433709.00833,1951-03-07 12:12:00,Saturn,Virgo,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Saturn.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433709.5166633334,1951-03-07 00:00:00,Saturn,Virgo,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433868.19722,1951-08-13 16:44:00,Saturn,Libra,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Saturn.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433868.894442222,1951-08-13 00:00:00,Saturn,Libra,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2434669.10833,1953-10-22 14:36:00,Saturn,Scorpio,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Saturn.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2434669.7166633336,1953-10-22 00:00:00,Saturn,Scorpio,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2435481.28194,1956-01-12 18:46:00,Saturn,Sagittarius,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Saturn.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2435482.0638844445,1956-01-12 00:00:00,Saturn,Sagittarius,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2435603.65625,1956-05-14 03:45:00,Saturn,Scorpio,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Saturn.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2435603.8125,1956-05-14 00:00:00,Saturn,Scorpio,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2435753.09097,1956-10-10 14:11:00,Saturn,Sagittarius,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Saturn.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2435753.681942222,1956-10-10 00:00:00,Saturn,Sagittarius,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436570.06458,1959-01-05 13:33:00,Saturn,Capricorn,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Saturn.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436570.629163333,1959-01-05 00:00:00,Saturn,Capricorn,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
