JD,Date_UT,Body,Sign,Deg,Lon,Notes,Source
2433298.125,1950-01-20 15:00:00,Sun,Aquarius,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433298.75,1950-01-20 00:00:00,Sun,Aquarius,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433327.72083,1950-02-19 05:18:00,Sun,Pisces,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433327.941663333,1950-02-19 00:00:00,Sun,Pisces,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433357.69097,1950-03-21 04:35:00,Sun,Aries,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433357.881942222,1950-03-21 00:00:00,Sun,Aries,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433388.7486155555,1950-04-20 00:00:00,Sun,Taurus,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433419.14375,1950-05-21 15:27:00,Sun,Gemini,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433419.7875,1950-05-21 00:00:00,Sun,Gemini,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433450.48333,1950-06-21 23:36:00,Sun,Cancer,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433451.4666633336,1950-06-21 00:00:00,Sun,Cancer,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433481.9375,1950-07-23 10:30:00,Sun,Leo,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433482.375,1950-07-23 00:00:00,Sun,Leo,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433513.22431,1950-08-23 17:23:00,Sun,Virgo,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433513.948615556,1950-08-23 00:00:00,Sun,Virgo,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433544.11389,1950-09-23 14:44:00,Sun,Libra,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433544.727778889,1950-09-23 00:00:00,Sun,Libra,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433574.44792,1950-10-23 22:45:00,Sun,Scorpio,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433575.3958366667,1950-10-23 00:00:00,Sun,Scorpio,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433604.37708,1950-11-22 21:03:00,Sun,Sagittarius,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433605.254163333,1950-11-22 00:00:00,Sun,Sagittarius,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433633.92569,1950-12-22 10:13:00,Sun,Capricorn,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433634.351384444,1950-12-22 00:00:00,Sun,Capricorn,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433663.36944,1951-01-20 20:52:00,Sun,Aquarius,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433664.2388844443,1951-01-20 00:00:00,Sun,Aquarius,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433692.96528,1951-02-19 11:10:00,Sun,Pisces,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433693.430557778,1951-02-19 00:00:00,Sun,Pisces,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433722.93472,1951-03-21 10:26:00,Sun,Aries,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433723.369442222,1951-03-21 00:00:00,Sun,Aries,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433753.36667,1951-04-20 20:48:00,Sun,Taurus,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433754.2333366666,1951-04-20 00:00:00,Sun,Taurus,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433784.38542,1951-05-21 21:15:00,Sun,Gemini,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433785.2708366667,1951-05-21 00:00:00,Sun,Gemini,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433815.72569,1951-06-22 05:25:00,Sun,Cancer,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433815.9513844447,1951-06-22 00:00:00,Sun,Cancer,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433847.18125,1951-07-23 16:21:00,Sun,Leo,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433847.8625,1951-07-23 00:00:00,Sun,Leo,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2433878.46944,1951-08-23 23:16:00,Sun,Virgo,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Sun.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
